N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
183,3739,8.98121125802128,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
567,337,8.98121125802128,146,200,0.73,0.66456564747098,0.786765502261297,False,insufficient,200,,
62,4811,8.98123743796006,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
126,4244,8.98123743796006,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
190,3677,8.98123743796006,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
254,3110,8.98123743796006,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
382,1976,8.98123743796006,23,200,0.115,0.07786373208518774,0.16664716944991373,False,insufficient,200,,
446,1409,8.98123743796006,64,200,0.32,0.2592653327095053,0.38751898489132125,False,insufficient,200,,
510,842,8.98123743796006,106,200,0.53,0.4609168286109567,0.5979524517889057,False,insufficient,200,,
574,275,8.98123743796006,152,200,0.76,0.6962665896736326,0.8139338404585067,False,insufficient,200,,
318,2543,8.981237437960061,8,200,0.04,0.0204056319610195,0.0769320685744264,False,insufficient,200,,
5,5316,8.98126361789884,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
69,4749,8.98126361789884,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
133,4182,8.98126361789884,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
197,3615,8.98126361789884,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
261,3048,8.98126361789884,5,200,0.025,0.010724719583860124,0.05717834075165468,False,insufficient,200,,
325,2481,8.98126361789884,8,200,0.04,0.0204056319610195,0.0769320685744264,False,insufficient,200,,
389,1914,8.98126361789884,26,200,0.13,0.09028202253521182,0.18366351919982074,False,insufficient,200,,
453,1347,8.98126361789884,68,200,0.34,0.2779154592508567,0.4081150452832114,False,insufficient,200,,
517,780,8.98126361789884,109,200,0.545,0.47578611318257474,0.6125178074172186,False,insufficient,200,,
581,213,8.98126361789884,158,200,0.79,0.7283538308774716,0.84071587965453,False,insufficient,200,,
140,4120,8.981289797837618,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
204,3553,8.981289797837618,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
268,2986,8.981289797837618,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
332,2419,8.981289797837618,8,200,0.04,0.0204056319610195,0.0769320685744264,False,insufficient,200,,
396,1852,8.981289797837618,31,200,0.155,0.11139636898322336,0.21160690641836105,False,insufficient,200,,
460,1285,8.981289797837618,73,200,0.365,0.30140526417602626,0.4336829740245936,False,insufficient,200,,
524,718,8.981289797837618,116,200,0.58,0.5107207388477095,0.6462640088852564,False,insufficient,200,,
588,151,8.981289797837618,161,200,0.805,0.7445595557369519,0.8539447949949808,False,insufficient,200,,
12,5254,8.98128979783762,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
76,4687,8.98128979783762,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
19,5192,8.981315977776399,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
83,4625,8.981315977776399,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
147,4058,8.981315977776399,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
211,3491,8.981315977776399,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
531,656,8.981315977776399,120,200,0.6,0.5308367198423567,0.6653942148238506,False,insufficient,200,,
595,89,8.981315977776399,167,200,0.835,0.777342184108311,0.8800314470234837,False,insufficient,200,,
275,2924,8.9813159777764,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
339,2357,8.9813159777764,9,200,0.045,0.02385254288504434,0.08329670438371192,False,insufficient,200,,
403,1790,8.9813159777764,34,200,0.17,0.12427907881439243,0.22815883678712312,False,insufficient,200,,
